temperature_C,humidity_%,soil_moisture_%,rainfall_mm,solar_radiation_Wm2,wind_speed_kmh,soil_pH,soil_type,crop_type,growth_stage,field_area_ha,days_since_rain,season,water_amount_liters
26.2,60.0,60.4,32.7,103.1,21.9,7.56,Clay,Soybean,Vegetative,1.24,7,Winter,50.0
43.5,76.4,58.1,4.0,100.2,5.5,6.9,Loam,Rice,Germination,1.64,13,Autumn,266.2
37.0,73.2,16.7,12.1,430.6,10.4,5.67,Clay,Wheat,Germination,6.72,1,Spring,655.6
33.0,30.8,74.6,38.7,120.5,19.9,8.26,Clay,Soybean,Vegetative,5.12,13,Spring,679.3
19.7,30.4,49.8,26.4,782.2,14.5,8.44,Sandy,Soybean,Germination,7.7,9,Spring,1162.0
19.7,38.8,35.5,46.4,255.4,22.2,6.79,Clay,Soybean,Germination,4.54,8,Spring,242.9
16.7,45.3,63.0,21.4,430.9,28.8,7.34,Clay,Cotton,Flowering,1.71,11,Spring,50.0
41.0,48.6,28.0,43.5,142.8,3.5,6.85,Loam,Cotton,Vegetative,8.78,0,Summer,2000.0
33.0,67.6,58.5,22.4,465.4,21.3,6.47,Silt,Soybean,Flowering,1.29,11,Autumn,50.0
36.2,24.0,12.8,49.0,366.0,6.9,5.73,Loam,Soybean,Germination,2.3,13,Summer,392.4
15.6,22.4,68.8,48.0,131.3,12.4,6.87,Sandy,Wheat,Germination,3.13,14,Autumn,50.0
44.1,47.4,41.4,16.5,334.6,1.0,7.96,Sandy,Wheat,Vegetative,9.96,2,Spring,2000.0
40.0,68.8,54.6,44.3,374.0,4.1,5.55,Silt,Rice,Germination,4.46,12,Spring,557.7
21.4,33.5,25.5,42.4,792.9,9.6,7.25,Clay,Rice,Maturity,5.27,10,Winter,439.4
20.5,64.9,57.4,10.5,245.5,10.3,8.14,Sandy,Cotton,Flowering,7.81,8,Spring,2000.0
20.5,38.2,64.1,31.2,481.3,27.0,6.15,Silt,Maize,Flowering,6.55,0,Spring,1381.0
24.1,82.0,43.1,3.6,791.1,22.3,6.05,Loam,Wheat,Maturity,8.49,3,Spring,1248.2
30.7,82.7,53.2,41.8,654.4,29.2,7.82,Loam,Rice,Vegetative,5.12,9,Spring,1155.7
28.0,40.8,41.9,8.7,795.4,18.0,6.27,Loam,Wheat,Vegetative,9.74,5,Spring,1923.8
23.7,36.1,72.6,3.5,777.8,7.3,6.08,Clay,Wheat,Germination,8.07,5,Autumn,585.5
33.4,48.8,44.9,20.0,442.7,9.8,6.63,Clay,Maize,Vegetative,4.31,13,Winter,436.0
19.2,36.8,68.9,28.8,587.5,9.6,6.68,Silt,Wheat,Maturity,4.12,3,Spring,228.0
23.8,67.1,66.1,42.7,177.3,9.8,8.12,Sandy,Maize,Vegetative,9.33,9,Spring,2000.0
26.0,77.8,38.7,48.7,408.8,20.2,7.36,Loam,Maize,Germination,7.0,9,Spring,742.0
28.7,67.1,26.1,22.0,666.3,15.9,6.72,Clay,Wheat,Maturity,6.4,14,Autumn,553.9
38.6,77.7,38.4,3.0,453.7,11.6,7.1,Clay,Wheat,Germination,7.7,9,Autumn,609.2
21.0,47.8,67.8,37.5,591.9,4.5,8.36,Sandy,Rice,Flowering,5.83,9,Winter,1108.9
30.4,30.9,25.9,28.3,622.0,0.7,5.84,Loam,Wheat,Flowering,2.01,0,Spring,423.3
32.8,71.7,46.7,22.4,277.4,6.6,6.12,Loam,Wheat,Vegetative,3.53,4,Winter,220.8
16.4,45.2,66.4,15.5,713.0,3.2,8.39,Sandy,Wheat,Maturity,5.8,13,Summer,1172.0
33.2,67.0,34.7,25.1,421.9,23.6,8.37,Silt,Rice,Maturity,0.67,4,Autumn,50.0
20.1,38.9,55.0,16.9,247.1,3.4,6.03,Silt,Maize,Maturity,4.65,2,Spring,523.0
17.0,25.7,27.2,37.9,705.8,21.7,5.94,Sandy,Rice,Germination,7.68,10,Autumn,1362.8
43.5,89.5,17.6,27.2,392.5,11.6,6.76,Sandy,Wheat,Maturity,2.06,2,Winter,126.1
44.0,30.9,65.6,43.8,625.2,2.2,5.65,Silt,Soybean,Vegetative,1.11,3,Summer,50.0
39.3,89.2,16.9,27.2,483.6,24.4,7.46,Sandy,Wheat,Flowering,8.44,2,Spring,2000.0
24.1,88.4,29.0,11.9,367.3,17.4,5.73,Loam,Rice,Vegetative,6.36,13,Autumn,1519.3
17.9,75.6,69.9,42.6,666.9,7.1,5.67,Silt,Rice,Flowering,2.18,14,Summer,50.0
35.5,66.2,34.3,27.9,509.1,26.8,6.96,Silt,Cotton,Flowering,8.16,2,Winter,990.6
28.2,60.4,78.1,10.3,373.4,1.4,8.37,Silt,Soybean,Vegetative,6.75,2,Winter,502.2
18.7,80.6,78.6,31.2,176.7,6.1,6.78,Loam,Rice,Flowering,3.67,6,Autumn,62.2
29.9,40.3,28.8,17.9,726.8,22.6,6.57,Sandy,Maize,Flowering,4.07,8,Autumn,1471.3
16.0,52.7,12.9,42.2,124.8,21.3,8.49,Clay,Wheat,Germination,1.98,10,Spring,50.0
42.3,63.4,59.4,22.7,704.2,8.7,7.1,Clay,Maize,Vegetative,8.43,14,Winter,899.3
22.8,48.8,41.6,36.3,352.0,1.9,6.63,Loam,Rice,Vegetative,5.34,12,Spring,1244.7
34.9,49.9,17.1,4.8,547.5,25.7,6.66,Loam,Rice,Vegetative,5.79,0,Autumn,1890.1
24.4,43.1,59.5,19.8,745.5,9.4,6.08,Sandy,Maize,Flowering,8.89,7,Summer,2000.0
30.6,59.5,12.2,49.2,206.2,5.9,7.04,Clay,Maize,Maturity,0.65,9,Spring,50.0
31.4,79.5,70.9,40.4,496.9,15.5,6.82,Silt,Cotton,Maturity,1.14,11,Winter,50.0
20.5,34.1,19.7,8.0,635.1,27.3,6.31,Loam,Wheat,Flowering,2.04,0,Autumn,339.4
44.1,85.4,18.9,13.9,630.3,1.3,5.98,Clay,Maize,Maturity,0.79,8,Autumn,159.2
38.3,68.2,22.3,16.5,467.9,23.0,6.43,Silt,Wheat,Maturity,6.75,12,Spring,1047.4
43.2,77.6,77.2,32.5,537.3,17.2,7.03,Silt,Soybean,Flowering,6.52,7,Spring,1579.1
41.8,58.9,58.5,37.8,630.3,12.8,5.67,Sandy,Rice,Vegetative,2.5,14,Autumn,621.5
32.9,74.6,66.1,37.5,688.7,22.3,5.96,Loam,Maize,Germination,1.92,5,Spring,50.0
42.7,21.1,37.8,25.5,633.3,29.0,8.34,Silt,Soybean,Vegetative,1.88,5,Autumn,379.2
17.7,77.3,33.5,40.5,347.8,6.9,7.13,Loam,Rice,Vegetative,9.56,10,Winter,1240.3
20.9,22.8,26.4,21.9,797.7,4.3,5.69,Clay,Cotton,Vegetative,7.09,9,Summer,1620.4
16.4,82.3,43.6,6.2,404.2,27.4,7.58,Clay,Rice,Germination,6.06,6,Spring,757.0
24.8,89.4,48.6,28.2,117.1,20.1,5.69,Loam,Maize,Vegetative,3.56,7,Winter,137.1
26.7,40.6,54.2,47.6,353.8,13.1,7.72,Silt,Soybean,Maturity,4.61,12,Winter,233.9
23.1,34.7,28.0,39.6,189.4,17.2,7.75,Silt,Soybean,Germination,1.35,6,Spring,50.0
39.9,73.6,76.4,28.9,185.0,22.4,7.45,Clay,Soybean,Maturity,9.98,14,Winter,666.4
25.7,37.7,21.9,32.3,297.1,23.2,7.7,Silt,Rice,Germination,7.67,12,Autumn,1029.0
23.4,80.6,77.6,46.5,137.4,27.6,5.76,Silt,Wheat,Maturity,6.4,0,Spring,373.7
31.3,27.2,11.0,21.4,582.0,12.8,7.68,Clay,Wheat,Vegetative,6.08,9,Summer,1442.5
19.2,28.8,43.7,16.6,151.8,8.8,5.91,Sandy,Rice,Vegetative,5.29,14,Autumn,1509.4
39.1,88.5,33.3,48.9,242.3,19.2,6.52,Clay,Maize,Vegetative,2.95,12,Winter,130.3
17.2,67.2,41.4,43.2,165.0,12.5,8.33,Loam,Rice,Maturity,2.65,13,Winter,50.0
